DisplayName,Enabled,SamAccountName,UserPrincipalName,Department,Path,GivenName,Surname,Title,City,Company,Country
Geula Cohen,TRUE,GeulaC,GeulaC@contoso.local,InfoSec,"OU=InfoSec,DC=contoso,DC=local",Geula,Cohen,Security Analyst,Tel Aviv,contoso.local,IL
Adi Mahluf,TRUE,AdiM,AdiM@contoso.local,InfoSec,"OU=InfoSec,DC=contoso,DC=local",Adi,Mahluf,Security Architect,Tel Aviv,contoso.local,IL
Allan Shred,TRUE,AllanS,AllanS@contoso.local,InfoSec,"OU=InfoSec,DC=contoso,DC=local",Allan,Shred,Security Engineer,Tel Aviv,contoso.local,IL
Eitan Brosh,TRUE,EitanB,EitanB@contoso.local,InfoSec,"OU=InfoSec,DC=contoso,DC=local",Eitan,Brosh,Security Engineer,Tel Aviv,contoso.local,IL
Ravid Siboni,TRUE,RavidS,RavidS@contoso.local,IT,"OU=IT,DC=contoso,DC=local",Ravid,Siboni,IT Manager,Tel Aviv,contoso.local,IL
Ilan Mesika,TRUE,IlalM,IlanM@contoso.local,IT,"OU=IT,DC=contoso,DC=local",Ilan,Mesika,Systems Administrator,Tel Aviv,contoso.local,IL
Dudu Cohen,TRUE,DuduC,DuduC@contoso.local,IT,"OU=IT,DC=contoso,DC=local",Dudu,Cohen,Systems Administrator,Tel Aviv,contoso.local,IL
Mor Revach,TRUE,MorR,MorR@contoso.local,IT,"OU=IT,DC=contoso,DC=local",Mor,Revach,Network Engineer,Tel Aviv,contoso.local,IL
Samuel Sandi,TRUE,SamuelS,SamuelS@contoso.local,IT,"OU=IT,DC=contoso,DC=local",Samuel,Sandi,Database Administrator,Tel Aviv,contoso.local,IL
Sarah Funga,TRUE,SarahF,SarahF@contoso.local,IT,"OU=IT,DC=contoso,DC=local",Sarah,Funga,Software Developer,Tel Aviv,contoso.local,IL
Susan Manor,TRUE,SusanM,SusanM@contoso.local,HR,"OU=HR,DC=contoso,DC=local",Susan,Manor,HR Manager,Tel Aviv,contoso.local,IL
Sydney Mwaba,TRUE,SydneyM,SydneyM@contoso.local,HR,"OU=HR,DC=contoso,DC=local",Sydney,Mwaba,HR Generalist,Tel Aviv,contoso.local,IL
Yigal Barnea,TRUE,YigalB,YigalB@contoso.local,HR,"OU=HR,DC=contoso,DC=local",Yigal,Barnea,HR Generalist,Tel Aviv,contoso.local,IL
